HDR,ROLLING SYSTEM DEMAND
VD,20201017171500,36379
VD,20201017172000,36595
VD,20201017172500,36913
VD,20201017173000,36996
VD,20201017173500,37103
VD,20201017174000,37044
VD,20201017174500,36959
VD,20201017175000,36976
VD,20201017175500,36827
VD,20201017180000,36751
VD,20201017180500,36689
VD,20201017181000,36697
VD,20201017181500,36604
VD,20201017182000,36455
VD,20201017182500,36243
VD,20201017183000,36040
VD,20201017183500,35787
VD,20201017184000,35656
VD,20201017184500,35505
VD,20201017185000,35235
VD,20201017185500,35049
VD,20201017190000,34873
VD,20201017190500,34563
VD,20201017191000,34302
VD,20201017191500,34098
VD,20201017192000,33856
VD,20201017192500,33666
VD,20201017193000,33507
VD,20201017193500,33350
VD,20201017194000,33071
VD,20201017194500,32727
VD,20201017195000,32431
VD,20201017195500,32193
VD,20201017200000,31886
VD,20201017200500,31639
VD,20201017201000,31490
VD,20201017201500,31184
VD,20201017202000,30849
VD,20201017202500,30669
VD,20201017203000,30517
VD,20201017203500,30244
VD,20201017204000,29830
VD,20201017204500,29585
VD,20201017205000,29406
VD,20201017205500,29135
VD,20201017210000,28859
VD,20201017210500,28526
VD,20201017211000,28363
VD,20201017211500,28097
VD,20201017212000,27885
VD,20201017212500,27752
VD,20201017213000,27539
VD,20201017213500,27337
VD,20201017214000,27084
VD,20201017214500,26930
VD,20201017215000,26649
VD,20201017215500,26448
VD,20201017220000,26228
VD,20201017220500,26038
VD,20201017221000,25756
VD,20201017221500,25510
VD,20201017222000,25245
VD,20201017222500,24923
VD,20201017223000,24672
VD,20201017223500,24465
VD,20201017224000,24323
VD,20201017224500,24097
VD,20201017225000,23958
VD,20201017225500,23887
VD,20201017230000,23810
VD,20201017230500,23449
VD,20201017231000,23289
VD,20201017231500,23135
VD,20201017232000,22892
VD,20201017232500,22695
VD,20201017233000,22594
VD,20201017233500,22607
VD,20201017234000,22607
VD,20201017234500,22606
VD,20201017235000,22531
VD,20201017235500,22456
FTR,1152
